Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000451058,ENSG00000129538,ENST00000555698,0.105,0.025,PredHel=0,0.736072,"extr 20, cyto 9, cyto_nucl 7",0.944,G3V357
ENSP00000451819,ENSG00000197776,ENST00000555704,0.116,0.093,PredHel=0,0.996248,"extr 24, nucl 7",0.962,G3V4I4
ENSP00000452029,ENSG00000100554,ENST00000555723,0.149,0.114,PredHel=0,0.839504,"cyto 24, mito 4, nucl 3",0.901,H0YJS0
ENSP00000451647,ENSG00000100883,ENST00000555746,0.12,0.062,PredHel=0,0.4854,"cyto 19, mito 12",0.914,G3V480
ENSP00000452098,ENSG00000171476,ENST00000555760,0.103,0.101,PredHel=0,0.718552,"cyto 14.5, cyto_nucl 12, nucl 8.5, extr 6",0.913,Q9BPY8
ENSP00000452053,ENSG00000165795,ENST00000555767,0.104,0.063,PredHel=0,0.992611,"extr 15, nucl 11, cyto_nucl 10.5, cyto 6",0.965,G3V4X3
ENSP00000451858,ENSG00000185737,ENST00000555784,0.254,0.234,PredHel=0,0.116112,"extr 14, cyto 10, nucl 4, mito 2.5",0.944,D9ZHQ3
ENSP00000451787,ENSG00000092094,ENST00000555785,0.167,0.231,PredHel=0,0.986911,"extr 25, nucl 4",0.917,NA
ENSP00000451218,ENSG00000100558,ENST00000555803,0.234,0.062,PredHel=0,0.990371,"mito 17, extr 11, cyto 2",0.913,H0YJD0
ENSP00000450602,ENSG00000205476,ENST00000555822,0.101,0.054,PredHel=0,0.85839,"cyto 17, extr 12",0.912,G3V2D7
ENSP00000452245,ENSG00000258818,ENST00000555835,0.862,0.94,PredHel=1,0.658808,extr 32,0.924,P34096
ENSP00000451563,ENSG00000173464,ENST00000555841,0.805,0.971,PredHel=0,9.91E-05,extr 29,0.933,Q8TAA1
ENSP00000450440,ENSG00000090061,ENST00000555842,0.105,0.065,PredHel=0,0.791055,"cyto 15, extr 12, mito 3",0.938,G3V235
ENSP00000451732,ENSG00000126214,ENST00000555856,0.103,0.058,PredHel=0,0.615463,"cyto 24.5, cyto_nucl 14, extr 5",0.946,H0YJL0
ENSP00000452320,ENSG00000140025,ENST00000555872,0.102,0.07,PredHel=0,0.710192,"cyto 19, nucl 11",0.956,Q9BUY7
ENSP00000451816,ENSG00000100804,ENST00000555895,0.179,0.081,PredHel=0,0.420122,"cyto 20.5, cyto_nucl 14, extr 7",0.906,H0YJM8
ENSP00000452234,ENSG00000126773,ENST00000555929,0.219,0.706,PredHel=1,0.792211,"extr 16, cyto 6, mito 5, nucl 3, E.R._mito 3,",0.925,H0YJV9
ENSP00000450952,ENSG00000126778,ENST00000555955,0.142,0.047,PredHel=0,0.241855,"nucl 16, cyto_nucl 11.3333, extr 8, cyto 4.5,",0.949,NA
ENSP00000450517,ENSG00000140043,ENST00000555976,0.103,0.063,PredHel=0,0.576579,"mito 18, cyto_nucl 7.5, cyto 6.5, nucl 5.5",0.907,NA
ENSP00000450640,ENSG00000137070,ENST00000555981,0.696,0.846,PredHel=0,0.944587,"extr 28, cyto 2",0.91,G3V2G0
ENSP00000450501,ENSG00000126822,ENST00000555982,0.102,0.038,PredHel=0,0.682093,"nucl 17, cyto_nucl 17, cyto 11",0.928,G3V278
ENSP00000452143,ENSG00000140025,ENST00000556005,0.102,0.069,PredHel=0,0.969189,"cyto 22, nucl 7",0.951,Q9BUY7
ENSP00000451662,ENSG00000080815,ENST00000556011,0.099,0.046,PredHel=0,0.926558,"cyto_nucl 16.5, nucl 15.5, cyto 10.5, extr 5",0.913,G3V490
ENSP00000451214,ENSG00000100629,ENST00000556042,0.12,0.011,PredHel=0,0.666615,"nucl 19.5, cyto_nucl 14, cyto 7.5, extr 5",0.923,G3V3F4
ENSP00000450821,ENSG00000185559,ENST00000556051,0.911,0.95,PredHel=0,2.85E-05,extr 32,0.951,G3V2R7
ENSP00000451694,ENSG00000100628,ENST00000556062,0.1,0.08,PredHel=0,0.98759,"cyto 15, cyto_nucl 12, extr 7, nucl 5, mito 4",0.944,G3V4B2
ENSP00000452267,ENSG00000080815,ENST00000556066,0.106,0.062,PredHel=0,0.813915,"nucl 19, cyto_nucl 14, extr 8, cyto 5",0.931,G3V5B1
ENSP00000451984,ENSG00000059769,ENST00000556107,0.793,0.85,PredHel=0,0.860703,"extr 21, mito 5, nucl 2, cyto 2, cyto_nucl 2",0.902,NA
ENSP00000452077,ENSG00000139990,ENST00000556111,0.249,0.46,PredHel=0,0.747081,"extr 18, nucl 10.5, cyto_nucl 7.5",0.918,G3V4Z1
ENSP00000450609,ENSG00000165804,ENST00000556174,0.125,0.078,PredHel=0,0.699521,nucl 32,0.914,G3V2E3
ENSP00000450884,ENSG00000119725,ENST00000556179,0.11,0.063,PredHel=0,0.892493,"nucl 19.5, cyto_nucl 14, extr 7, cyto 5.5",0.934,G3V2V5
ENSP00000451823,ENSG00000184990,ENST00000556195,0.132,0.047,PredHel=0,0.826015,"extr 22, cyto 5.5, cyto_nucl 5.5, nucl 2.5",0.903,H0YJN1
ENSP00000450668,ENSG00000119681,ENST00000556206,0.109,0.068,PredHel=0,0.385635,"extr 14, cyto_nucl 9, nucl 7.5, cyto 7.5",0.932,H0YJ20
ENSP00000451171,ENSG00000100902,ENST00000556221,0.118,0.134,PredHel=0,0.923972,"extr 15, cyto 9, cyto_nucl 8.5, nucl 6",0.947,H0YJC4
ENSP00000452093,ENSG00000197930,ENST00000556223,0.872,0.918,PredHel=0,0.0541174,"extr 28, nucl 2",0.962,G3V503
ENSP00000452373,ENSG00000166888,ENST00000556259,0.133,0.312,PredHel=0,0.968725,"cyto 28.5, cyto_nucl 16.5",0.952,G3V5I8
ENSP00000451792,ENSG00000258728,ENST00000556278,0.102,0.03,PredHel=0,0.968275,"extr 12, nucl 11.5, cyto_nucl 10.1667, cyto 7",0.916,G3V4G9
ENSP00000451602,ENSG00000036530,ENST00000556313,0.114,0.077,PredHel=0,0.598999,"mito 20, nucl 6.5, cyto_nucl 6, cyto 4.5",0.909,H0YJI0
ENSP00000451132,ENSG00000066427,ENST00000556315,0.104,0.079,PredHel=0,0.580391,"nucl 14, cyto_nucl 11.5, extr 11, cyto 7",0.913,G3V3A6
ENSP00000451544,ENSG00000140105,ENST00000556338,0.172,0.044,PredHel=0,0.997631,"cyto 28, mito 2",0.957,G3V423
ENSP00000452401,ENSG00000258989,ENST00000556347,0.122,0.204,PredHel=0,0.295703,"extr 15, cyto 13.5, cyto_nucl 9.5",0.933,H0YJX3
ENSP00000450655,ENSG00000197930,ENST00000556358,0.141,0.235,PredHel=0,0.9859,"cyto 18.5, cyto_nucl 11, extr 8, mito 3",0.902,G3V2H0
ENSP00000452413,ENSG00000165795,ENST00000556366,0.106,0.129,PredHel=1,0.956173,"cysk 22, cyto_nucl 6, cyto 5.5, nucl 3.5",0.95,G3V5L7
ENSP00000451794,ENSG00000171476,ENST00000556376,0.103,0.101,PredHel=0,0.718552,"cyto 14.5, cyto_nucl 12, nucl 8.5, extr 6",0.913,Q9BPY8
ENSP00000451867,ENSG00000119725,ENST00000556396,0.12,0.103,PredHel=0,0.266065,"nucl 14, extr 13, cyto 4",0.943,G3V2G5
ENSP00000450809,ENSG00000042317,ENST00000556406,0.096,0.101,PredHel=0,0.897039,"cyto_nucl 15.5, cyto 15, nucl 8, extr 7",0.95,H0YJ48
ENSP00000452519,ENSG00000140105,ENST00000556435,0.172,0.044,PredHel=0,0.996446,cyto 29,0.931,G3V5U1
ENSP00000452407,ENSG00000187105,ENST00000556455,0.147,0.255,PredHel=0,0.919336,"nucl 18, mito_nucl 15.5, mito 11",0.907,G3V5L2
ENSP00000451556,ENSG00000119698,ENST00000556470,0.135,0.142,PredHel=0,0.977909,"mito 26, cyto 4, cyto_nucl 4",0.905,G3V431
ENSP00000451275,ENSG00000100445,ENST00000556523,0.222,0.35,PredHel=0,0.984618,"cyto 12.5, cyto_nucl 10.5, extr 8, mito 8",0.958,G3V3J5
ENSP00000450580,ENSG00000258436,ENST00000556526,0.718,0.963,PredHel=0,0.551674,extr 30,0.935,Q5GAN4
ENSP00000451782,ENSG00000091536,ENST00000556535,0.119,0.1,PredHel=0,0.956466,"extr 21, cyto 6, nucl 4",0.929,G3V4G3
ENSP00000452164,ENSG00000259431,ENST00000556545,0.122,0.116,PredHel=0,0.766688,extr 32,0.947,H0YJU8
ENSP00000452312,ENSG00000100814,ENST00000556563,0.597,0.959,PredHel=0,0.785711,extr 32,0.962,G3V5E6
ENSP00000450621,ENSG00000175634,ENST00000556575,0.106,0.097,PredHel=0,0.990621,"cyto 24, extr 4, nucl 2, mito 2, extr_plas 2,",0.964,G3V2F1
ENSP00000451736,ENSG00000100784,ENST00000556594,0.105,0.081,PredHel=0,0.884818,"nucl 14, cyto_nucl 14, extr 9, cyto 8",0.964,G3V4D7
ENSP00000451029,ENSG00000100596,ENST00000556607,0.113,0.108,PredHel=0,0.996226,"extr 19, nucl 7, cyto 5",0.919,H0YJ96
ENSP00000452003,ENSG00000171476,ENST00000556614,0.103,0.101,PredHel=0,0.718552,"cyto 14.5, cyto_nucl 12, nucl 8.5, extr 6",0.913,Q9BPY8
ENSP00000451267,ENSG00000090060,ENST00000556619,0.105,0.058,PredHel=0,0.810872,"cyto 17.5, cyto_nucl 17, cyto_plas 11.8333, n",0.911,G3V3I9
ENSP00000451056,ENSG00000171723,ENST00000556633,0.109,0.054,PredHel=0,0.860035,"cysk 18, cyto 6, extr 5",0.918,G3V355
ENSP00000452103,ENSG00000025423,ENST00000556650,0.24,0.829,PredHel=0,0.998698,"extr 21, cyto 4, mito 4, cyto_mito 4",0.916,G3V508
ENSP00000450993,ENSG00000165533,ENST00000556651,0.156,0.099,PredHel=0,0.995284,"cyto 19.5, cyto_nucl 16, nucl 9.5",0.928,G3V324
ENSP00000451693,ENSG00000066427,ENST00000556671,0.105,0.073,PredHel=0,0.996127,"cyto_nucl 13.5, nucl 12, cyto 11, extr 9",0.949,G3V4B1
ENSP00000450427,ENSG00000140105,ENST00000556698,0.142,0.125,PredHel=0,0.494652,"cyto 17, extr 6, nucl 4, mito 2, golg 2",0.916,G3V227
ENSP00000451717,ENSG00000119632,ENST00000556727,0.305,0.25,PredHel=0,0.714019,"extr 17, cyto 6.5, cyto_nucl 6.5, nucl 5.5",0.922,A0A0B4J270
ENSP00000452238,ENSG00000165792,ENST00000556733,0.13,0.151,PredHel=0,0.990115,"nucl 15.5, extr 13, cyto_nucl 11",0.907,H0YJW1
ENSP00000451096,ENSG00000119650,ENST00000556742,0.103,0.034,PredHel=0,0.975603,"cyto 14.5, cyto_nucl 14, nucl 10.5, extr 6",0.934,Q96FT9
ENSP00000451623,ENSG00000075413,ENST00000556744,0.1,0.045,PredHel=0,0.934734,"nucl 27, cyto_nucl 16.5, cyto 4",0.941,A2SY06
ENSP00000451744,ENSG00000136305,ENST00000556756,0.12,0.073,PredHel=0,0.822003,"nucl 13.5, extr 13, cyto_nucl 12, cyto 5.5",0.935,G3V4E2
ENSP00000451711,ENSG00000182400,ENST00000556765,0.25,0.361,PredHel=0,0.290466,"cyto 14.5, cyto_nucl 13, extr 9, nucl 6.5",0.926,G3V4C3
ENSP00000450543,ENSG00000137070,ENST00000556792,0.696,0.846,PredHel=0,0.985783,extr 30,0.934,G3V2A5
ENSP00000451169,ENSG00000182199,ENST00000556825,0.282,0.11,PredHel=0,0.890632,"mito 18, cyto 6.5, extr 5, cyto_pero 4",0.919,G3V3C6
ENSP00000450770,ENSG00000119705,ENST00000556831,0.153,0.018,PredHel=0,0.977548,"mito 26, cyto 3.5, cyto_nucl 3",0.923,H0YJ40
ENSP00000452463,ENSG00000100814,ENST00000556854,0.124,0.111,PredHel=0,0.543892,"extr 16, nucl 8, extr_plas 8",0.919,G3V5Q4
ENSP00000452468,ENSG00000119686,ENST00000556856,0.34,0.982,PredHel=1,0.757041,"extr 21, E.R. 6, E.R._mito 4.5, plas 3",0.922,G3V5Q8
ENSP00000451588,ENSG00000080815,ENST00000556864,0.106,0.065,PredHel=0,0.707482,"nucl 17, cyto_nucl 13, extr 10, cyto 5, extr_",0.96,G3V449
ENSP00000452298,ENSG00000054654,ENST00000556906,0.132,0.034,PredHel=0,0.743494,"cyto_nucl 13.5, extr 11, nucl 11, cyto 10",0.96,G3V5D3
ENSP00000452541,ENSG00000100473,ENST00000556908,0.476,0.734,PredHel=0,0.964791,extr 29,0.917,G3V5V4
ENSP00000450785,ENSG00000100523,ENST00000556910,0.107,0.083,PredHel=0,0.616238,"cyto 21, extr 6, nucl 4",0.915,G3V2P6
ENSP00000450843,ENSG00000129467,ENST00000556932,0.099,0.145,PredHel=0,0.913946,"nucl 15.5, cyto_nucl 13.5, cyto 8.5, extr 7",0.938,H0YJ57
ENSP00000450551,ENSG00000080815,ENST00000556951,0.106,0.067,PredHel=0,0.35014,"plas 10, mito 7, cyto 5, cysk_plas 5, nucl 4,",0.903,G3V2B1
ENSP00000451917,ENSG00000119685,ENST00000556977,0.106,0.127,PredHel=0,0.969027,"cyto_nucl 19, nucl 16.5, cyto 10.5",0.958,Q2TAY9
ENSP00000451252,ENSG00000126215,ENST00000556980,0.103,0.148,PredHel=0,0.945692,"cyto 21, mito 7, nucl 2",0.9,G3V3H9
ENSP00000452211,ENSG00000053770,ENST00000556995,0.116,0.2,PredHel=0,0.99924,"nucl 14.5, extr 14, cyto_nucl 11",0.92,G3V573
ENSP00000451062,ENSG00000198668,ENST00000557020,0.101,0.059,PredHel=0,0.485788,"cyto 17, cyto_nucl 15, nucl 7, extr 6",0.931,G3V361
ENSP00000451083,ENSG00000133962,ENST00000557036,0.14,0.029,PredHel=0,0.411178,"mito 12, cyto_nucl 11, nucl 8.5, cyto 6.5, mi",0.959,H0YJA5
ENSP00000451347,ENSG00000080815,ENST00000557037,0.106,0.064,PredHel=0,0.764517,"nucl 18, cyto_nucl 13.5, extr 9, cyto 5",0.957,G3V3P0
ENSP00000451721,ENSG00000176153,ENST00000557049,0.127,0.129,PredHel=0,0.931451,"cyto_nucl 20.3333, cyto 18, cyto_plas 10.8333",0.921,H0YJK8
ENSP00000451150,ENSG00000100577,ENST00000557053,0.121,0.096,PredHel=0,0.976781,"cyto 18.5, cyto_nucl 14.5, extr 8, nucl 5.5",0.945,G3V3B9
ENSP00000450990,ENSG00000140022,ENST00000557055,0.103,0.101,PredHel=0,0.724183,"nucl 19.5, cyto_nucl 12, extr 9",0.978,G3V322
ENSP00000451002,ENSG00000140092,ENST00000557088,0.765,0.884,PredHel=0,0.997869,extr 29,0.917,G3V329
ENSP00000452412,ENSG00000173464,ENST00000557105,0.805,0.971,PredHel=0,0.425459,extr 29,0.954,G3V5L6
ENSP00000451846,ENSG00000187790,ENST00000557110,0.101,0.03,PredHel=0,0.460437,"cyto 15, extr 11, nucl 4",0.939,H0YJN7
ENSP00000457493,ENSG00000173575,ENST00000557116,0.111,0.075,PredHel=0,0.570277,"cyto 20.5, cyto_nucl 13, nucl 4.5, extr 3, pe",0.913,NA
ENSP00000450547,ENSG00000211448,ENST00000557125,0.458,0.83,PredHel=0,0.901399,extr 30,0.927,G3V2A7
ENSP00000451321,ENSG00000100612,ENST00000557137,0.4,0.989,PredHel=1,0.32712,"extr 26, E.R. 4",0.973,H0YJE4
ENSP00000451330,ENSG00000065357,ENST00000557180,0.109,0.077,PredHel=0,0.245395,"extr 25, mito 5",0.93,H0YJE7
ENSP00000451620,ENSG00000119725,ENST00000557214,0.102,0.03,PredHel=0,0.951849,nucl 32,0.913,H0YJI7
ENSP00000450576,ENSG00000100450,ENST00000557220,0.851,0.952,PredHel=0,0.337165,"extr 28, mito 2",0.919,A0A0C4DGJ9
ENSP00000452018,ENSG00000170099,ENST00000557225,0.783,0.975,PredHel=0,0.751248,"extr 20, cyto 4, plas 3, pero 3",0.956,G3V4V7
ENSP00000451838,ENSG00000100461,ENST00000557245,0.159,0.234,PredHel=0,0.992798,"cyto 18.5, cyto_nucl 16.5, nucl 9.5",0.922,H0YJN4
ENSP00000451013,ENSG00000198718,ENST00000557250,0.116,0.026,PredHel=0,0.711163,"mito 21, nucl 5, cyto_nucl 4.5, extr 2, cyto ",0.913,H0YJ89
ENSP00000452447,ENSG00000170473,ENST00000557259,0.115,0.044,PredHel=0,0.5661,"extr 18, nucl 7, cyto_nucl 6.66667, cyto 4, c",0.968,G3V5P2
ENSP00000451115,ENSG00000009830,ENST00000557289,0.601,0.88,PredHel=0,0.889387,"extr 27, nucl 4",0.94,H0YJA9
ENSP00000452031,ENSG00000165914,ENST00000557292,0.1,0.027,PredHel=0,0.960206,"nucl 18.5, cyto_nucl 17.5, cyto 7.5, extr 3",0.936,H0YJS2
ENSP00000451599,ENSG00000140105,ENST00000557297,0.172,0.044,PredHel=0,0.995588,cyto 29,0.913,G3V456
ENSP00000450642,ENSG00000066427,ENST00000557311,0.104,0.049,PredHel=0,0.899127,"nucl 25, cyto_nucl 17, cyto 5",0.904,G3V2G2
ENSP00000452314,ENSG00000054983,ENST00000557316,0.52,0.309,PredHel=0,0.600154,"mito 16, plas 6, cyto 3, pero 3, cyto_pero 3,",0.939,G3V5E8
ENSP00000452375,ENSG00000100612,ENST00000557326,0.365,0.983,PredHel=1,0.5414,extr 30,0.929,G3V5J0
ENSP00000451905,ENSG00000196943,ENST00000557362,0.131,0.456,PredHel=0,0.699623,"extr 27, cyto 3",0.942,H0YJP7
ENSP00000477199,ENSG00000100714,ENST00000557370,0.101,0.094,PredHel=0,0.985269,"cyto 18, cyto_nucl 13, extr 7, nucl 6",0.916,V9GYY3
ENSP00000450758,ENSG00000186469,ENST00000557376,0.105,0.067,PredHel=0,0.991305,"extr 12, cyto 12, cyto_nucl 9, mito 6, extr_p",0.926,G3V2N0
ENSP00000450633,ENSG00000100462,ENST00000557415,0.124,0.08,PredHel=0,0.945071,"nucl 14.5, extr 12, cyto_nucl 11.3333, cyto 5",0.947,G3V2F5
ENSP00000452170,ENSG00000182175,ENST00000557420,0.584,0.857,PredHel=0,0.988514,"extr 26, mito 2, nucl 1, cyto 1, E.R. 1, cyto",0.914,G3V545
ENSP00000452390,ENSG00000100934,ENST00000557437,0.103,0.066,PredHel=0,0.642929,"extr 20, cyto_nucl 7.5, cyto 6.5, nucl 5.5",0.922,G3V5K1
ENSP00000452599,ENSG00000092199,ENST00000557442,0.125,0.046,PredHel=0,0.800579,nucl 30,0.954,B4DSU6
ENSP00000452501,ENSG00000100462,ENST00000557443,0.241,0.237,PredHel=0,0.654178,"extr 21, cyto 6.5, cyto_nucl 5, nucl 2.5",0.907,H0YJY6
ENSP00000451474,ENSG00000100591,ENST00000557476,0.143,0.135,PredHel=0,0.329456,"cyto 16, cyto_nucl 11.5, extr 8, nucl 3, cysk",0.965,NA
ENSP00000452516,ENSG00000185246,ENST00000557477,0.183,0.385,PredHel=0,0.967832,"cysk 13, cyto_nucl 8, cyto 7.5, extr 6, nucl ",0.957,H0YJY9
ENSP00000451869,ENSG00000139350,ENST00000557478,0.109,0.07,PredHel=0,0.734,"nucl 12, cyto_nucl 12, extr 11, cyto 8",0.966,G3V4L2
ENSP00000451465,ENSG00000258947,ENST00000557490,0.104,0.08,PredHel=0,0.887036,"extr 20, cyto_nucl 6.5, cyto 5.5, nucl 4.5",0.947,G3V3W7
ENSP00000451839,ENSG00000173464,ENST00000557503,0.805,0.971,PredHel=0,0.804799,extr 29,0.957,C9JYR4
ENSP00000451206,ENSG00000119655,ENST00000557510,0.934,0.96,PredHel=0,0.453277,extr 30,0.921,G3V3E8
ENSP00000476468,ENSG00000100714,ENST00000557539,0.111,0.134,PredHel=0,0.900155,"cysk 22, extr 7",0.9,V9GY75
ENSP00000451039,ENSG00000135424,ENST00000557555,0.151,0.101,PredHel=0,0.783957,"extr 18, mito 5, cyto_nucl 5, nucl 4.5, cyto ",0.931,H0YJ98
ENSP00000451278,ENSG00000166428,ENST00000557573,0.161,0.867,PredHel=1,0.94538,"mito 19, plas 5, nucl 2, cyto 2, cyto_nucl 2,",0.934,G3V3J8
ENSP00000451369,ENSG00000259066,ENST00000557574,0.319,0.973,PredHel=1,0.804352,"extr 18, cyto 7, cyto_mito 7, mito 3, pero 2,",0.958,G3V3Q6
ENSP00000451993,ENSG00000119688,ENST00000557588,0.213,0.345,PredHel=0,0.809246,"plas 22, mito 7, E.R._mito 6.5",0.954,G3V4U7
ENSP00000451355,ENSG00000100628,ENST00000557613,0.101,0.066,PredHel=0,0.992616,"cyto_nucl 15.5, cyto 13.5, nucl 12.5, extr 4",0.907,G3V3P8
ENSP00000451790,ENSG00000171723,ENST00000557654,0.11,0.054,PredHel=0,0.919707,"cysk 16, extr 9, cyto 5",0.902,G3V4R0
ENSP00000452403,ENSG00000140025,ENST00000557685,0.102,0.075,PredHel=0,0.962529,"cyto 23, nucl 7",0.949,H0YJX4
ENSP00000452210,ENSG00000100722,ENST00000557693,0.12,0.053,PredHel=0,0.901319,"nucl 13.5, cyto_nucl 13, cyto 9.5, extr 8",0.928,G3V572
ENSP00000450724,ENSG00000100836,ENST00000557702,0.105,0.043,PredHel=0,0.153121,nucl 32,0.915,B4DEH8
ENSP00000451015,ENSG00000198513,ENST00000557735,0.099,0.075,PredHel=0,0.341554,"cyto_nucl 16, nucl 13, cyto 13, extr 5",0.955,G3V334
ENSP00000454847,ENSG00000140563,ENST00000557742,0.192,0.22,PredHel=0,0.942265,"nucl 22, mito 4.5, cyto_mito 3.5, E.R. 2, per",0.902,Q6DN12
ENSP00000451238,ENSG00000165914,ENST00000557766,0.097,0.064,PredHel=0,0.994194,"cyto 24.5, cyto_nucl 16.5, nucl 5.5",0.909,G3V3H1
ENSP00000450850,ENSG00000205476,ENST00000557769,0.101,0.054,PredHel=0,0.85839,"cyto 17, extr 12",0.912,G3V2D7
ENSP00000453824,ENSG00000189227,ENST00000557807,0.272,0.539,PredHel=0,0.270651,"extr 14, cyto 9, mito 6",0.925,H0YN13
ENSP00000454142,ENSG00000104081,ENST00000557870,0.101,0.101,PredHel=0,0.990202,"extr 14, cyto 11.5, cyto_nucl 11.5, nucl 6.5",0.918,H0YNT3
ENSP00000454166,ENSG00000100884,ENST00000557889,0.133,0.08,PredHel=0,0.96757,"extr 23, cyto_nucl 6.5, nucl 5, cyto 4",0.914,H0YNV2
ENSP00000452861,ENSG00000166710,ENST00000557901,0.765,0.921,PredHel=0,0.315971,extr 31,0.908,Q16446
ENSP00000453421,ENSG00000128944,ENST00000557920,0.154,0.061,PredHel=0,0.956431,"mito 15, cyto 13, extr 4",0.903,H0YM11
ENSP00000453157,ENSG00000092330,ENST00000557921,0.317,0.2,PredHel=0,0.985302,"mito 17, extr 6, cyto 6",0.937,H0YLC9
ENSP00000453585,ENSG00000103740,ENST00000557935,0.104,0.036,PredHel=0,0.89123,"extr 24, cyto 5",0.902,H0YMF5
ENSP00000452825,ENSG00000140598,ENST00000557939,0.109,0.074,PredHel=0,0.786543,"cyto 15.5, cyto_nucl 13, cysk 6, nucl 5.5, ex",0.925,H0YKI9
ENSP00000452704,ENSG00000137845,ENST00000558004,0.859,0.913,PredHel=0,0.0783163,extr 32,0.978,H0YK87
ENSP00000452662,ENSG00000242534,ENST00000558026,0.11,0.121,PredHel=0,0.983799,"nucl 15.5, cyto_nucl 13.8333, extr 9, cyto 7",0.924,A0A0A0MTQ6
ENSP00000453456,ENSG00000137821,ENST00000558032,0.139,0.1,PredHel=0,0.976578,"extr 25, mito 4",0.929,H0YM43
ENSP00000452668,ENSG00000028528,ENST00000558040,0.105,0.071,PredHel=0,0.931759,"cyto 11, cyto_nucl 10.5, extr 10, nucl 8",0.937,H0YK58
ENSP00000453101,ENSG00000035664,ENST00000558064,0.111,0.037,PredHel=0,0.998257,"cyto_nucl 13.5, nucl 12, extr 10, cyto 9",0.911,H0YL86
ENSP00000453673,ENSG00000103852,ENST00000558078,0.105,0.05,PredHel=0,0.942952,"cyto 13, nucl 10, extr 8",0.918,H0YMN1
ENSP00000453221,ENSG00000128891,ENST00000558113,0.111,0.069,PredHel=0,0.648288,"nucl 14, cyto_nucl 12.5, extr 11, cyto 7",0.952,H0YLI5
ENSP00000454096,ENSG00000182718,ENST00000558132,0.123,0.176,PredHel=0,0.185254,"cyto 18, cyto_nucl 14, extr 7, nucl 6",0.92,H0YNP5
ENSP00000452697,ENSG00000140612,ENST00000558134,0.137,0.325,PredHel=1,0.903538,"mito 14, cyto 13.5, cyto_nucl 8, extr 2",0.966,P67812
ENSP00000453781,ENSG00000171766,ENST00000558163,0.128,0.029,PredHel=0,0.768918,"mito 22, cyto 6, nucl 2, pero 2",0.906,H0YMX4
ENSP00000453945,ENSG00000182718,ENST00000558169,0.12,0.107,PredHel=0,0.744853,"extr 11, cyto_nucl 10.5, cyto 10, nucl 7",0.918,H0YNB8
ENSP00000453593,ENSG00000128915,ENST00000558181,0.099,0.076,PredHel=0,0.990091,"cyto_nucl 13, nucl 10.5, cyto 10.5, extr 5, m",0.9,Q659A1
ENSP00000454193,ENSG00000140612,ENST00000558196,0.44,0.906,PredHel=0,0.101703,"mito 12, cyto 8, cyto_nucl 8, extr 6, nucl 6,",0.945,H0YNX5
ENSP00000453038,ENSG00000137821,ENST00000558204,0.139,0.1,PredHel=0,0.976578,"extr 25, mito 4",0.929,H0YM43
ENSP00000454034,ENSG00000138606,ENST00000558294,0.116,0.058,PredHel=0,0.5375,"cyto 19, nucl 11",0.919,H0YNJ2
ENSP00000453706,ENSG00000137871,ENST00000558320,0.11,0.061,PredHel=0,0.725658,"cyto_nucl 16, cyto 15, nucl 13",0.917,Q6N043
ENSP00000453578,ENSG00000104064,ENST00000558335,0.122,0.137,PredHel=0,0.95972,"cyto 15.5, cyto_nucl 15.5, nucl 10.5, extr 5",0.933,H0YNZ0
ENSP00000452943,ENSG00000187461,ENST00000558378,0.13,0.017,PredHel=0,0.970936,"extr 14, nucl 7.5, cyto_nucl 7, extr_plas 7",0.945,NA
ENSP00000453252,ENSG00000156958,ENST00000558399,0.111,0.13,PredHel=0,0.742487,"extr 27, cyto 5",0.914,H0YLL3
ENSP00000475107,ENSG00000259680,ENST00000558425,0.701,0.859,PredHel=0,0.232313,"extr 19, cyto 6, nucl 5",0.907,S4R460
ENSP00000454165,ENSG00000166949,ENST00000558428,0.11,0.071,PredHel=0,0.680086,"extr 13, nucl 12.5, cyto_nucl 9.5, cyto 5.5",0.935,H0YNV1
ENSP00000454091,ENSG00000068793,ENST00000558430,0.109,0.151,PredHel=0,0.177001,extr 29,0.952,NA
ENSP00000452967,ENSG00000166920,ENST00000558435,0.246,0.646,PredHel=1,0.992906,"extr 28, mito 2",0.915,H0YKW5
ENSP00000454159,ENSG00000022976,ENST00000558462,0.109,0.05,PredHel=0,0.707425,"cyto 15.5, cyto_nucl 15.5, nucl 14.5",0.936,H0YNU6
ENSP00000453514,ENSG00000128833,ENST00000558479,0.104,0.184,PredHel=0,0.961054,"cyto 25, extr 4",0.941,H0YM93
ENSP00000454201,ENSG00000229474,ENST00000558481,0.11,0.166,PredHel=0,0.326019,"cyto_nucl 14, nucl 12.5, cyto 10.5, extr 7",0.94,H0YNY1
ENSP00000452819,ENSG00000022976,ENST00000558490,0.128,0.026,PredHel=0,0.675603,"nucl 20.5, cyto_nucl 13, mito 6, cyto 4.5",0.906,H0YKI3
ENSP00000453356,ENSG00000182718,ENST00000558503,0.127,0.126,PredHel=0,0.787307,"cyto 17.5, cyto_nucl 15, nucl 7.5, extr 5",0.903,H0YLV6
ENSP00000454045,ENSG00000068793,ENST00000558549,0.102,0.05,PredHel=0,0.708774,"cyto 12.5, extr 12, cyto_nucl 8.5, mito 4",0.928,NA
